# File Name: D:\QS6 Results\BWS_QS6_METHYLATION_2135_031325_20250313_132035.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 6 Pro System
# Block Type: 384-Well Block
# Instrument Name: Naga
# Instrument Serial Number: 2778620090015
# Heated Cover Serial Number: 2779320070495
# Block Serial Number: 2778320080534
# Run Start Date/Time: 2025-03-13 01:20:59 PM EDT
# Run End Date/Time: 2025-03-13 03:57:24 PM EDT
# Run Duration: 156 minutes 24 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-03-13 03:57:38 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported On: 2025-03-15 08:12:04 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","Control A","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1905899654640077","","","29.18653549905448","0.7931620975596552","29.213624413414983","0.25460743668341035","false","0.2","true","3","24"
"1","A1","false","Control A","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0650060287186727","","","30.016367167752726","0.8661303799467291","30.031829912523072","0.09461470377547804","false","0.2","true","3","24"
"2","A2","false","Control A","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1730577552463193","","","29.056371282614847","0.7603493538878512","29.213624413414983","0.25460743668341035","false","0.2","true","3","22"
"2","A2","false","Control A","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0445353945496902","","","30.075159980147227","0.8216744798823871","30.031829912523072","0.09461470377547804","false","0.2","true","3","24"
"3","A3","false","Control A","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1756047716073055","","","29.030094974253394","0.7835496375887802","29.213624413414983","0.25460743668341035","false","0.2","true","3","22"
"3","A3","false","Control A","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0626393596177646","","","29.907553735641102","0.8359240129784461","30.031829912523072","0.09461470377547804","false","0.2","true","3","24"
"4","A4","false","Control A","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1543846162667286","","","29.58149589773721","0.6875847461271994","29.213624413414983","0.25460743668341035","false","0.2","true","3","23"
"4","A4","false","Control A","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0632351664573672","","","30.128238766551238","0.7911241009431","30.031829912523072","0.09461470377547804","false","0.2","true","3","24"
"5","A5","false","BWR-5947-1","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1987959291022365","","","28.90613125607301","0.7599985265667278","28.984061088127227","0.08318375107793394","false","0.2","true","3","24"
"5","A5","false","BWR-5947-1","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.08023952898788","","","29.659615896603558","0.8455897097649646","29.641997296783295","0.046768805683610234","false","0.2","true","3","24"
"6","A6","false","BWR-5947-1","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1959878513712714","","","29.089351729872973","0.7702037282313922","28.984061088127227","0.08318375107793394","false","0.2","true","3","23"
"6","A6","false","BWR-5947-1","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0863153179137783","","","29.696307198901394","0.9003138015680443","29.641997296783295","0.046768805683610234","false","0.2","true","3","24"
"7","A7","false","BWR-5947-1","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.2080465242515634","","","29.01053740385154","0.8124228904789689","28.984061088127227","0.08318375107793394","false","0.2","true","3","22"
"7","A7","false","BWR-5947-1","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0762026199456154","","","29.624942412969265","0.8917015428810943","29.641997296783295","0.046768805683610234","false","0.2","true","3","24"
"8","A8","false","BWR-5947-1","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.2083607462593629","","","28.930223962711384","0.7855993622027808","28.984061088127227","0.08318375107793394","false","0.2","true","3","24"
"8","A8","false","BWR-5947-1","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0844139663792585","","","29.587123678658962","0.8654593275016103","29.641997296783295","0.046768805683610234","false","0.2","true","3","24"
"9","A9","false","BWR-5935-1","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1871471867261845","","","29.308933481980603","0.7888046428152621","29.186794795372393","0.15462976541486567","false","0.2","true","3","23"
"9","A9","false","BWR-5935-1","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0719823233198678","","","29.86530957064246","0.8892499188181452","29.798040669876073","0.13292073459923665","false","0.2","true","3","24"
"10","A10","false","BWR-5935-1","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1810384273404868","","","29.225149814177563","0.7789464314117325","29.186794795372393","0.15462976541486567","false","0.2","true","3","23"
"10","A10","false","BWR-5935-1","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.073162247659663","","","29.83417325953708","0.8874688351924247","29.798040669876073","0.13292073459923665","false","0.2","true","3","25"
"11","A11","false","BWR-5935-1","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1808405248372262","","","29.252258292476185","0.7688900100333049","29.186794795372393","0.15462976541486567","false","0.2","true","3","25"
"11","A11","false","BWR-5935-1","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0703323722625453","","","29.89095521068202","0.8548589559381661","29.798040669876073","0.13292073459923665","false","0.2","true","3","24"
"12","A12","false","BWR-5935-1","ICR1_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.1844774339570336","","","28.960837592855228","0.7504214707160101","29.186794795372393","0.15462976541486567","false","0.2","true","3","22"
"12","A12","false","BWR-5935-1","ICR1_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.0776330890543038","","","29.601724638642743","0.8823774183268975","29.798040669876073","0.13292073459923665","false","0.2","true","3","23"
"25","B1","false","Control A","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.3366466903840537","","","27.392046391812514","0.9832602667677252","27.699489624628363","0.24968136030299543","false","0.2","true","3","22"
"25","B1","false","Control A","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3719458203923112","","","27.29091506163197","0.8757683204027749","27.541027992455078","0.17964266354053507","false","0.2","true","3","20"
"26","B2","false","Control A","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.3054510987259127","","","27.61554746658816","0.9811168296437707","27.699489624628363","0.24968136030299543","false","0.2","true","3","23"
"26","B2","false","Control A","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3417123156547122","","","27.542006525333143","0.838728394419672","27.541027992455078","0.17964266354053507","false","0.2","true","3","22"
"27","B3","false","Control A","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.299812198805848","","","27.828611096319946","0.9831022015214685","27.699489624628363","0.24968136030299543","false","0.2","true","3","23"
"27","B3","false","Control A","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3468206403832041","","","27.625451388160307","0.8762531498673862","27.541027992455078","0.17964266354053507","false","0.2","true","3","23"
"28","B4","false","Control A","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.2938191055969523","","","27.961753543792835","0.9737080820683802","27.699489624628363","0.24968136030299543","false","0.2","true","3","23"
"28","B4","false","Control A","ICR2_M","UNKNOWN","FAM","NFQ-MGB","Amp","1.3408305796246085","","","27.705738994694876","0.8559231383054088","27.541027992455078","0.17964266354053507","false","0.2","true","3","21"
"29","B5","false","BWR-5947-1","ICR2_UM","UNKNOWN","VIC","NFQ-MGB","Amp","1.2724674160332599","","","27.709350449070442","0.9646658144406298","27.79371808529031","0.07927899365722138","false","0.2","true","3","23"
